BILHETE,DATA,EMITIDO,LOCAL,HORARIO,VALOR,ANIMAL
65,19/01/2022,1:13,1,22:28,891,10
66,17/09/2021,8:05,2,7:26,632,17
67,09/06/2021,19:58,2,20:47,798,15
68,07/05/2022,14:04,2,3:35,577,8
69,10/11/2021,12:16,1,11:53,492,20
70,21/04/2022,22:01,2,9:07,608,19
71,19/08/2022,12:48,2,10:56,936,20
72,23/02/2022,4:13,1,8:41,512,15
73,16/11/2022,11:23,2,16:45,963,17
74,19/06/2021,20:59,1,17:21,620,25
75,02/10/2022,17:57,2,13:13,743,15
76,01/06/2022,12:30,1,14:20,415,23
77,13/11/2021,13:38,1,17:42,507,12
78,06/10/2022,18:32,1,2:45,666,9
79,14/07/2022,22:06,2,11:11,42,24
80,21/12/2020,20:41,2,1:36,557,13
81,02/02/2021,12:40,2,3:23,25,17
82,07/01/2021,0:55,2,8:54,737,10
83,12/01/2022,22:13,2,16:50,5,19
84,14/12/2020,5:12,2,8:21,296,20
85,08/06/2021,16:56,2,14:44,98,5
86,23/11/2021,14:30,1,19:53,869,20
87,18/02/2022,0:01,1,22:29,813,8
88,23/09/2021,9:41,1,3:58,406,14
89,07/03/2022,0:36,1,11:54,619,21
90,09/03/2022,21:40,1,0:25,503,17
91,18/10/2021,5:41,1,17:11,734,7
92,13/08/2022,5:58,2,23:34,584,7
93,12/01/2022,13:58,1,23:47,172,20
94,25/11/2022,19:47,2,23:13,226,17
95,04/05/2021,7:47,1,2:20,662,11
96,25/03/2021,7:06,1,21:23,733,6
97,12/09/2022,7:43,2,16:20,915,15
98,22/09/2022,17:26,2,14:11,704,1
99,05/06/2021,11:27,1,22:51,425,5
100,04/01/2021,18:33,1,14:15,473,15
101,12/03/2021,22:21,1,13:29,776,15
102,26/11/2021,7:11,2,10:13,910,18
103,07/12/2021,7:04,2,20:00,960,15
104,03/04/2022,8:12,2,21:09,565,17
105,25/10/2022,11:03,2,23:44,595,8
106,22/02/2022,1:30,1,0:53,605,22
107,14/09/2022,20:52,1,17:22,609,15
108,15/02/2022,21:23,1,20:38,301,15
109,17/05/2021,3:20,2,3:10,621,4
110,18/08/2022,2:17,2,9:14,722,20
111,02/03/2022,22:23,1,2:21,30,4
112,12/06/2022,13:14,2,5:12,585,12
113,12/06/2022,6:11,2,7:05,449,20
114,14/12/2020,19:58,1,15:17,323,4
115,24/03/2021,14:19,1,19:23,857,7
116,07/12/2020,6:40,2,22:03,918,6
117,07/04/2022,12:42,2,18:27,98,9
118,06/04/2022,9:20,2,16:43,277,17
119,20/11/2022,2:20,2,10:41,169,5
120,25/08/2021,4:48,1,15:22,597,9
121,29/09/2022,22:05,1,22:45,190,14
122,26/08/2022,7:40,1,20:10,408,2
123,14/07/2021,13:43,1,14:35,499,10
124,22/08/2022,13:12,2,17:43,160,16
125,19/05/2022,23:01,2,13:49,920,3
126,05/08/2021,6:33,2,10:22,301,10
127,26/03/2022,23:29,2,4:40,264,20
128,08/11/2022,7:08,1,19:21,88,3
129,25/08/2021,14:59,2,21:43,356,4
130,02/01/2022,10:27,1,4:42,345,10
131,25/08/2021,17:16,1,10:17,217,2
132,25/08/2021,6:34,1,3:22,246,12
133,12/03/2022,21:21,1,14:59,579,18
134,24/01/2021,3:58,2,12:14,277,5
135,19/02/2021,22:12,2,3:43,77,6
136,30/06/2022,15:00,1,17:54,831,9
137,30/03/2021,16:57,2,19:08,328,16
138,09/04/2022,8:46,1,22:21,82,9
139,12/09/2021,1:40,2,5:18,686,11
140,18/08/2021,23:04,1,19:24,529,2
141,07/10/2021,11:43,2,21:23,26,15
142,03/01/2022,9:33,1,10:47,3,21
143,12/04/2021,12:43,1,8:13,743,4
144,09/03/2021,8:52,1,0:34,258,10
145,16/02/2022,10:38,2,16:32,326,10
146,08/06/2022,9:54,1,5:43,655,12
147,21/11/2021,19:57,2,8:02,157,12
148,15/10/2021,5:27,2,13:02,905,4
149,16/09/2022,16:24,1,10:31,951,14
150,14/05/2022,7:09,1,8:11,373,1
151,23/01/2021,0:24,1,6:19,794,5
152,17/09/2022,11:13,2,2:57,883,12
153,17/06/2021,3:36,2,2:32,89,9
154,29/10/2021,11:19,2,1:58,264,19
155,14/04/2022,5:32,1,9:46,646,18
156,06/05/2022,8:11,1,1:26,598,9
157,04/03/2022,1:22,1,23:37,332,19
158,12/12/2020,9:57,2,18:33,368,5
159,06/08/2021,10:08,2,15:44,394,14
160,14/11/2021,1:21,1,16:43,670,5
161,23/11/2022,18:31,2,14:16,135,19
162,23/08/2021,5:30,2,11:55,26,25
163,01/03/2021,23:20,2,22:29,613,12
164,25/12/2021,1:54,1,7:09,478,25
165,14/02/2021,6:23,1,17:08,462,6
166,16/05/2021,6:11,1,23:25,574,16
167,01/05/2021,21:12,2,3:42,878,10
168,06/05/2021,14:57,2,3:11,57,9
169,05/05/2022,22:02,2,13:12,980,18
170,18/12/2020,19:23,1,6:02,676,4
171,29/04/2022,20:09,2,12:21,885,3
172,10/12/2020,0:33,1,4:47,886,17
173,05/07/2022,10:23,1,3:17,379,10
174,16/06/2021,7:49,1,15:45,38,23
175,11/09/2022,9:13,2,9:40,810,11
176,12/09/2021,2:36,2,5:45,539,22
177,22/11/2021,14:22,1,18:19,688,19
178,05/02/2022,8:07,2,2:38,132,17
179,15/06/2022,22:52,1,1:50,149,7
180,05/11/2021,16:05,1,8:07,19,11
181,25/10/2021,6:40,1,23:21,488,22
182,27/06/2021,15:04,1,1:33,934,24
183,01/02/2022,18:57,2,3:58,117,20
184,13/12/2020,9:01,2,10:24,110,6
185,03/11/2022,4:01,1,18:03,148,16
186,02/11/2021,15:58,2,13:49,788,17
187,20/03/2021,10:05,1,13:01,163,7
188,17/10/2022,16:20,2,19:36,932,13
189,20/12/2021,8:16,2,6:51,283,8
190,27/09/2021,4:49,2,18:12,533,3
191,24/12/2021,4:30,2,5:06,393,6
192,16/12/2020,1:54,2,18:20,726,19
193,27/01/2022,16:20,2,13:12,528,8
194,19/09/2022,1:32,1,14:05,649,11
195,03/07/2022,18:44,1,9:33,563,18
196,22/05/2021,18:55,1,21:20,615,7
197,14/07/2021,1:26,2,5:10,7,24
198,20/10/2022,23:25,1,8:48,705,20
199,18/12/2020,13:22,2,23:14,523,17
200,13/06/2022,1:57,1,12:22,674,17
201,05/07/2022,10:55,1,18:38,18,5
202,11/03/2021,20:56,2,13:30,492,17
203,11/01/2022,14:43,1,15:06,70,22
204,09/12/2021,6:29,2,14:16,390,24
205,07/05/2021,19:42,1,6:37,956,19
206,03/01/2021,22:35,2,11:32,273,19
207,14/03/2022,23:53,1,19:04,746,8
208,28/05/2022,19:51,1,22:46,967,17
209,07/03/2021,10:28,2,23:36,305,9
210,08/06/2022,16:40,2,10:10,489,25
211,16/09/2021,2:16,2,9:34,911,23
212,25/09/2022,23:50,1,8:42,883,16
213,03/09/2021,12:39,2,6:37,490,12
214,01/09/2022,15:27,2,16:00,50,8
215,18/12/2020,15:33,2,1:47,15,15
216,20/06/2022,2:47,2,12:09,634,20
217,05/05/2021,13:21,2,9:49,548,9
218,20/12/2021,9:47,1,7:08,461,25
219,29/07/2021,1:51,2,0:22,605,13
220,06/08/2021,20:15,2,9:19,111,22
221,07/11/2022,1:58,1,5:50,818,21
222,17/12/2021,6:15,1,2:08,870,23
223,13/10/2022,2:36,2,13:43,32,12
224,24/01/2022,17:25,1,3:40,395,4
225,26/03/2021,23:22,1,3:25,261,18
226,01/02/2022,19:26,1,20:34,25,21
227,24/04/2021,18:14,1,5:48,574,5
228,05/12/2021,17:29,1,20:24,766,2
229,18/10/2022,13:47,1,23:46,138,23
230,21/11/2022,2:49,2,6:08,993,13
231,23/11/2022,23:19,1,10:47,539,15
232,05/11/2021,0:38,2,18:22,554,24
233,25/05/2022,10:06,2,19:45,993,16
234,20/01/2021,10:46,2,11:45,419,8
235,03/04/2021,8:27,1,6:43,626,23
236,10/03/2022,5:46,1,1:50,885,16
237,13/08/2021,2:05,1,2:35,273,25
238,15/05/2021,18:47,1,5:58,729,15
239,30/03/2022,17:26,2,7:45,736,4
240,22/11/2021,10:54,2,5:26,357,15
241,28/12/2021,11:29,2,7:35,467,17
242,02/12/2020,23:49,1,19:32,926,25
243,18/03/2022,11:01,2,22:28,364,18
244,23/07/2022,23:01,1,18:34,682,25
245,11/12/2020,7:57,2,15:16,809,12
246,09/11/2022,12:14,1,7:45,564,1
247,05/01/2022,0:17,1,11:51,845,15
248,18/04/2021,0:31,1,18:50,899,6
249,02/05/2021,12:09,1,0:32,40,11
250,03/01/2021,16:41,2,20:06,900,9
251,06/03/2021,3:38,1,20:01,927,5
252,12/01/2021,14:42,2,17:00,579,5
253,19/04/2021,3:13,2,13:59,699,2
254,14/10/2021,7:06,1,2:19,82,22
255,17/12/2020,22:39,1,7:28,84,18
256,21/08/2022,8:24,1,6:06,930,4
257,22/02/2022,4:34,1,22:11,504,19
258,16/02/2021,9:41,1,23:30,622,14
259,31/03/2021,9:48,1,5:04,725,6
260,17/04/2021,8:28,2,20:01,787,22
261,05/07/2022,0:21,2,20:38,775,20
262,05/02/2022,8:07,2,2:10,344,6
263,25/11/2022,21:08,1,7:41,142,10
264,27/07/2022,14:48,2,17:28,148,18
265,24/03/2021,3:14,2,7:56,113,1
266,09/02/2021,13:32,2,15:56,827,14
267,30/09/2021,14:22,2,9:29,857,24
268,04/02/2022,18:03,2,22:19,211,2
269,19/08/2022,18:09,2,12:55,852,5
270,17/12/2021,23:16,2,2:51,819,5
271,21/08/2021,7:36,1,3:08,548,6
272,26/06/2022,5:22,1,9:52,932,1
273,08/06/2021,16:01,1,12:43,592,15
274,11/10/2021,8:29,2,20:48,442,24
275,20/05/2021,17:04,1,1:47,126,22
276,28/06/2021,21:38,2,17:56,107,2
277,07/04/2021,13:46,2,16:28,237,19
278,07/08/2021,11:55,2,11:30,675,10
279,08/03/2021,9:23,1,21:19,51,6
280,18/12/2020,5:12,1,11:47,783,15
281,16/02/2021,19:18,2,10:24,768,4
282,26/06/2021,4:19,1,23:42,190,21
283,22/01/2021,11:21,1,20:22,93,17
284,30/01/2021,6:33,2,1:59,828,1
285,17/02/2021,5:43,2,7:50,576,10
286,02/01/2022,20:58,2,4:00,798,16
287,17/02/2022,7:28,1,13:37,676,5
288,16/07/2022,17:38,1,11:31,139,6
289,05/05/2021,19:35,1,21:35,785,2
290,27/04/2022,17:02,2,6:19,664,10
291,19/06/2022,18:07,2,14:19,898,23
292,28/05/2022,9:48,2,4:53,564,8
293,24/09/2022,4:33,2,12:45,486,7
294,06/01/2021,11:02,2,21:14,469,23
295,26/06/2022,7:44,1,6:51,798,19
296,05/05/2022,9:53,1,2:36,250,19
297,29/12/2020,16:52,1,9:33,740,18
298,21/05/2022,21:56,2,21:41,294,23
299,20/07/2021,22:59,2,2:35,885,4
300,19/03/2021,1:39,2,19:15,606,19
301,21/07/2021,6:09,2,1:30,76,8
302,04/01/2021,14:13,2,17:14,999,23
303,24/09/2022,10:04,2,16:07,100,7
304,12/06/2021,4:09,2,20:41,300,19
305,21/09/2022,3:39,2,2:31,262,18
306,20/01/2021,18:25,2,13:17,819,7
307,31/05/2021,3:42,2,1:53,369,11
308,17/06/2021,20:54,1,2:59,386,8
309,19/02/2021,2:11,1,0:59,354,17
310,31/03/2022,17:59,2,6:09,554,17
311,29/09/2021,20:01,1,18:34,997,23
312,02/03/2022,4:31,2,2:58,673,25
313,19/11/2022,6:02,2,6:34,239,8
314,04/12/2021,10:33,2,8:22,601,6
315,22/03/2021,3:59,1,9:30,364,18
316,19/02/2021,18:34,1,8:53,654,23
317,08/06/2022,5:48,2,15:33,903,1
318,09/09/2021,15:05,2,21:27,722,20
319,21/10/2022,10:37,1,6:24,86,20
320,04/07/2021,21:09,1,23:02,797,23
321,31/12/2021,0:50,1,19:35,142,2
322,06/12/2021,15:15,1,21:34,985,20
323,12/10/2022,13:30,1,1:11,211,11
324,23/01/2022,16:55,1,1:42,654,2
325,21/12/2021,16:27,1,22:00,581,19
326,17/02/2022,7:42,1,0:34,673,13
327,12/06/2021,8:20,2,5:28,323,24
328,10/12/2020,14:28,1,20:33,281,15
329,03/04/2021,13:41,2,15:26,237,17
330,18/07/2021,9:13,1,17:29,11,14
331,14/10/2022,12:27,1,0:40,569,4
332,07/09/2021,4:49,1,6:35,773,24
333,19/07/2021,3:37,2,12:34,560,1
334,09/07/2021,17:16,1,0:13,299,16
335,20/12/2020,18:13,1,20:41,69,25
336,03/11/2021,18:33,2,17:33,904,25
337,21/03/2021,8:10,2,6:44,632,13
338,27/03/2021,3:46,1,11:29,415,10
339,29/08/2021,3:13,2,19:16,793,25
340,05/10/2022,17:06,1,2:03,643,17
341,01/01/2022,19:55,1,8:44,857,18
342,27/10/2022,18:36,2,4:29,471,15
343,17/05/2021,11:09,1,17:23,981,3
344,24/02/2021,8:32,1,20:25,140,24
345,01/10/2022,5:24,2,17:15,738,6
346,25/03/2022,12:48,1,9:44,148,24
347,30/09/2022,1:55,2,14:58,877,16
348,12/08/2021,7:44,1,12:25,62,24
349,29/10/2022,20:53,2,2:37,150,7
350,25/06/2021,12:40,2,0:55,172,22
351,28/09/2021,22:54,2,14:24,599,4
352,04/01/2022,17:30,1,13:51,190,12
353,04/04/2022,22:33,1,7:38,972,10
354,12/01/2022,9:16,1,11:22,359,2
355,15/05/2022,23:41,1,14:30,686,3
356,31/08/2021,19:50,1,6:16,279,16
357,19/01/2022,1:42,1,22:51,233,17
358,23/05/2021,3:01,2,1:01,979,14
359,15/03/2021,13:38,1,7:50,222,4
360,04/07/2021,21:00,1,0:22,231,20
361,09/02/2021,15:53,1,9:41,306,12
362,15/02/2021,22:10,2,15:30,147,4
363,04/02/2022,21:29,2,13:13,108,23
364,16/06/2022,16:26,1,2:50,323,25
365,22/08/2021,23:00,2,21:52,23,8
366,30/08/2022,7:07,1,16:14,313,13
367,20/06/2022,18:23,2,12:29,807,8
368,13/01/2022,22:29,1,18:47,119,20
369,14/08/2022,13:03,2,1:52,775,3
370,14/06/2021,10:51,1,14:09,1000,21
371,01/10/2022,21:12,2,8:17,898,5
372,12/02/2022,19:15,1,12:36,51,22
373,17/04/2021,21:17,1,0:42,781,14
374,26/01/2022,6:14,2,6:49,69,3
375,22/12/2021,16:16,1,15:19,50,15
376,21/08/2021,14:56,2,6:19,667,16
377,02/12/2020,8:16,2,3:36,491,7
378,14/06/2022,14:54,1,11:03,171,12
379,26/08/2022,23:44,2,22:43,812,11
380,22/05/2022,11:16,2,9:55,89,8
381,09/07/2021,13:43,1,11:12,59,2
382,10/11/2022,3:13,2,1:13,465,4
383,31/01/2021,11:12,1,10:47,880,4
384,24/07/2021,14:11,2,11:58,825,20
385,17/05/2021,8:14,1,5:13,101,21
386,02/07/2021,19:49,2,19:25,132,11
387,12/01/2022,2:35,2,1:56,43,6
388,25/11/2021,6:25,1,11:51,113,12
389,03/02/2022,17:33,1,8:55,318,20
390,12/06/2022,19:56,1,2:44,166,23
391,18/07/2021,13:24,2,19:32,98,14
392,28/01/2022,1:37,2,12:40,551,18
393,18/12/2021,9:14,2,10:08,344,11
394,04/09/2022,9:41,1,10:18,959,14
395,13/02/2022,19:49,2,7:16,599,13
396,18/06/2021,20:50,1,8:52,73,5
397,15/01/2022,11:32,2,11:34,830,2
398,23/08/2022,0:00,2,19:20,509,7
399,04/09/2021,19:51,2,5:50,326,2
400,02/02/2022,23:06,2,17:30,302,1
401,18/05/2022,0:15,2,4:23,363,25
402,14/06/2021,2:55,1,17:34,807,15
403,14/02/2022,6:59,2,12:58,543,25
404,17/02/2022,0:44,1,22:54,709,20
405,18/10/2022,13:51,1,21:09,13,9
406,18/02/2021,17:12,2,8:55,959,22
407,04/02/2021,16:44,2,14:08,251,16
408,06/11/2022,3:34,1,8:14,706,10
409,19/01/2022,10:00,2,16:26,681,18
410,15/07/2022,23:44,2,1:52,708,18
411,15/12/2021,23:06,2,1:00,882,10
412,30/03/2022,10:10,2,5:39,289,25
413,30/05/2022,1:42,2,5:41,494,3
414,12/07/2021,0:42,2,9:36,817,3
415,05/12/2020,11:26,2,22:39,636,4
416,17/09/2022,7:30,1,5:21,842,1
417,04/10/2021,6:36,1,19:01,911,3
418,26/04/2021,13:27,1,2:25,259,17
419,15/04/2022,10:53,1,6:43,42,11
420,09/04/2021,22:28,2,1:33,556,2
421,03/05/2022,10:58,2,2:39,351,18
422,10/08/2021,23:36,1,6:35,179,18
423,26/10/2021,3:44,1,1:46,866,17
424,06/01/2021,20:50,2,16:45,88,24
425,06/12/2021,18:35,1,15:14,388,19
426,29/10/2021,4:47,1,13:07,537,15
427,27/03/2022,16:28,1,13:13,281,13
428,31/03/2021,22:30,2,11:12,189,18
429,29/12/2020,21:49,2,17:29,99,5
430,23/02/2022,11:52,2,10:03,107,12
431,19/05/2022,8:01,1,7:18,882,12
432,04/11/2021,22:31,2,7:35,857,3
433,30/06/2022,7:18,1,16:32,210,20
434,28/01/2022,3:36,2,6:10,922,24
435,06/02/2022,1:18,1,8:42,49,1
436,08/11/2022,22:31,1,3:08,310,22
437,23/11/2021,5:53,2,22:33,268,11
438,11/12/2021,13:50,2,1:48,325,15
439,13/09/2021,19:10,1,22:33,398,5
440,16/02/2021,14:53,1,2:06,665,5
441,19/02/2022,16:43,1,21:15,305,19
442,15/04/2022,8:25,2,10:42,37,19
443,20/03/2022,2:16,1,22:07,810,7
444,02/06/2021,0:41,1,10:25,393,25
445,15/10/2021,6:23,1,21:03,746,22
446,13/04/2021,8:04,1,16:07,278,15
447,12/03/2021,18:24,2,6:11,188,6
448,03/04/2022,4:13,1,9:04,489,11
449,01/03/2022,11:05,2,19:33,44,11
450,16/08/2022,17:38,1,2:38,322,23
451,20/02/2021,23:28,2,3:34,129,15
452,12/01/2022,6:07,2,12:14,335,1
453,30/12/2020,1:33,1,14:09,819,22
454,18/11/2021,16:28,1,20:48,418,7
455,06/11/2022,19:16,1,12:03,96,18
456,28/12/2020,12:13,1,16:22,670,21
457,24/09/2022,5:32,2,14:15,79,8
458,28/04/2021,1:52,1,6:18,815,8
459,13/08/2022,14:38,1,22:26,724,19
460,18/08/2022,19:36,1,3:30,50,13
461,08/01/2022,7:46,1,16:14,660,21
462,28/02/2022,20:54,1,8:00,419,23
463,12/05/2022,19:00,2,5:13,899,9
464,13/11/2021,10:41,1,15:06,888,1
465,20/08/2022,21:31,2,20:35,286,16
466,21/05/2022,13:42,1,0:53,469,7
467,08/12/2020,18:22,2,16:26,577,2
468,13/08/2021,6:26,2,10:52,756,4
469,14/01/2021,9:25,2,5:00,504,16
470,09/10/2022,2:11,2,14:10,994,24
471,10/07/2021,6:59,1,12:31,457,19
472,20/01/2022,3:15,1,8:13,940,21
473,17/01/2022,10:27,1,5:09,889,12
474,18/03/2021,2:04,2,10:03,676,19
475,20/10/2021,5:12,1,16:51,370,16
476,10/10/2022,10:40,2,1:39,379,19
477,30/09/2021,7:08,2,2:01,228,25
478,11/05/2022,20:59,1,4:23,481,3
479,01/07/2022,6:07,2,8:56,517,2
480,30/10/2021,0:35,1,14:37,979,23
481,24/09/2022,4:16,2,20:49,714,22
482,15/11/2022,7:04,1,13:56,234,13
483,17/09/2021,10:14,2,17:56,845,12
484,27/09/2022,4:09,2,3:26,195,11
485,11/08/2022,7:35,1,20:35,889,21
486,24/01/2021,20:04,2,4:07,475,16
487,01/07/2022,8:33,1,19:38,616,2
488,28/08/2021,8:32,1,5:34,255,16
489,27/10/2021,18:29,1,11:08,758,21
490,22/11/2021,23:52,1,21:34,847,20
491,15/07/2022,22:40,2,9:59,394,12
492,08/05/2021,0:26,1,14:21,280,5
493,07/04/2022,7:49,2,15:14,533,2
494,03/09/2021,3:54,2,4:20,891,1
495,26/11/2022,21:07,2,10:11,921,20
496,08/11/2021,5:39,1,2:35,775,5
497,11/11/2021,21:38,2,1:19,359,17
498,08/09/2022,23:21,1,17:24,661,24
499,22/09/2021,10:02,1,15:42,127,9
500,31/10/2022,6:10,2,5:28,641,1
501,11/08/2022,7:24,1,2:49,126,24
502,17/11/2022,23:25,2,0:31,653,23
503,11/05/2021,19:43,1,1:15,896,8
504,11/08/2021,13:49,2,11:09,297,3
505,04/04/2022,5:19,2,20:08,550,19
506,03/12/2021,20:53,2,21:18,377,23
507,06/10/2022,20:19,2,7:46,509,3
508,30/06/2022,0:33,1,0:27,932,7
509,07/08/2021,9:34,1,0:13,324,23
510,23/06/2022,23:57,1,13:21,294,24
511,12/04/2021,23:23,1,2:25,956,2
512,14/08/2022,12:07,2,10:33,854,17
513,03/08/2022,21:06,1,1:47,3,2
514,07/03/2022,18:05,1,13:58,588,20
515,03/12/2020,9:32,1,15:28,681,4
516,27/09/2021,16:12,1,4:19,173,13
517,31/05/2021,2:17,2,14:24,530,5
518,21/05/2022,18:43,1,5:44,491,17
519,03/04/2022,15:00,1,6:30,825,2
520,24/01/2022,0:47,2,11:49,553,8
521,20/11/2022,22:32,2,0:50,733,8
522,05/10/2021,16:38,2,9:33,952,24
523,10/03/2021,12:11,1,9:05,944,23
524,15/12/2020,10:02,2,19:28,330,25
525,10/01/2021,3:21,2,11:34,491,24
526,12/09/2021,14:45,2,5:42,981,23
527,01/09/2022,15:33,2,15:14,340,24
528,31/05/2021,5:27,1,7:44,418,10
529,24/08/2021,18:33,2,8:40,573,10
530,06/07/2021,22:13,2,6:11,602,25
531,13/11/2021,18:14,1,2:30,221,24
532,30/06/2021,3:28,1,3:22,393,14
533,27/07/2022,3:42,2,6:52,35,14
534,21/08/2022,18:53,1,19:58,849,25
535,02/09/2021,4:49,2,2:02,790,8
536,25/03/2021,20:04,2,16:56,148,14
537,15/10/2022,9:15,2,16:39,884,6
538,12/07/2022,16:12,1,16:57,511,18
539,15/12/2020,21:08,1,6:43,942,23
540,17/10/2021,4:09,1,13:23,917,12
541,07/10/2022,4:41,2,7:22,131,2
542,27/03/2021,2:55,1,6:06,70,20
543,09/05/2022,0:31,2,2:58,15,20
544,17/07/2022,20:49,2,8:28,674,16
545,07/07/2021,4:06,2,4:46,484,6
546,30/12/2021,12:50,2,12:22,421,25
547,28/08/2021,10:37,2,4:00,449,9
548,04/12/2021,1:59,2,16:53,976,20
549,12/11/2021,3:25,1,5:21,23,17
550,02/05/2022,3:06,2,15:05,962,23
551,03/11/2022,5:41,2,2:09,22,24
552,18/11/2021,23:49,2,6:17,394,7
553,01/07/2021,11:24,1,19:12,945,22
554,01/11/2022,11:36,2,1:08,557,10
555,01/05/2022,9:31,2,17:19,947,24
556,04/02/2022,23:39,2,20:37,747,10
557,20/12/2020,23:36,2,3:03,997,22
558,01/11/2021,21:13,2,7:15,975,7
559,01/05/2022,19:32,2,14:18,701,3
560,05/02/2021,2:23,1,4:10,986,10
561,12/11/2021,13:15,2,3:17,677,5
562,06/01/2022,0:45,1,14:07,762,25
563,12/07/2022,6:31,2,9:51,656,12
564,20/04/2021,13:11,2,12:34,749,11
565,08/11/2022,20:25,2,14:43,982,13
566,04/06/2022,5:18,2,13:05,130,21
567,14/09/2021,20:57,2,13:51,232,13
568,26/06/2021,20:27,2,2:35,98,1
569,09/06/2021,12:19,2,23:44,819,23
570,18/09/2022,12:18,1,1:50,382,20
571,13/12/2021,10:40,1,3:36,481,22
572,21/02/2021,19:23,1,21:04,974,24
573,04/08/2022,16:46,1,10:19,396,24
574,31/08/2022,22:34,1,5:27,460,8
575,23/08/2022,22:10,2,17:04,535,1
576,07/06/2021,10:16,2,14:53,261,23
577,04/08/2022,15:16,1,20:45,870,13
578,26/10/2021,8:55,2,10:59,721,8
579,03/12/2021,19:33,1,0:05,368,5
580,20/07/2021,12:50,1,3:51,944,22
581,24/12/2020,1:05,2,15:42,730,22
582,04/03/2021,19:14,2,9:59,227,6
583,05/03/2022,5:35,1,7:28,11,22
584,08/05/2022,11:43,2,10:49,870,1
585,04/07/2022,4:04,1,22:50,197,25
586,21/01/2021,19:39,1,18:38,549,15
587,15/05/2021,10:27,1,10:39,283,19
588,18/09/2022,9:34,2,19:26,178,17
589,17/12/2020,9:52,1,9:50,346,21
590,15/08/2021,8:01,2,10:10,115,10
591,27/05/2021,23:31,1,18:39,275,19
592,12/08/2021,20:33,2,1:54,234,4
593,24/08/2022,22:42,2,2:27,726,21
594,24/01/2022,13:29,2,19:56,915,3
595,16/02/2022,21:52,2,19:46,96,13
596,05/07/2022,10:16,1,20:16,133,5
597,20/12/2020,14:52,1,3:22,966,5
598,24/10/2022,15:01,1,21:37,608,20
599,17/01/2022,6:07,1,3:24,485,20
600,25/11/2022,4:25,2,15:38,800,9
601,31/12/2020,19:36,2,3:15,980,9
602,07/06/2022,13:24,1,22:40,370,10
603,26/10/2021,7:36,2,0:44,561,13
604,12/09/2021,22:34,2,2:08,129,15
605,18/01/2021,10:09,1,22:09,228,25
606,16/10/2021,16:49,2,23:55,685,1
607,06/12/2020,0:49,1,0:50,890,3
